timestamp,scenario_id,repeat_id,algorithm,n_nodes,n_edges,source,target,w_delay,w_rel,w_res,path_length,total_delay,rel_cost,res_cost,total_cost
2025-12-03T20:28:39,12,5,Q-Learning,250,12450,180,22,0.5,0.3,0.2,4,19.711787110916276,0.12014932712019799,7.084353975236816,11.308809148641561
2025-12-03T20:28:39,12,5,SARSA,250,12450,180,22,0.5,0.3,0.2,3,14.332251962386698,0.14736719260460002,3.3880958104877523,7.887955301072279
2025-12-03T20:28:39,13,1,Basit,250,12412,108,93,0.5,0.3,0.2,3,8.710417561112443,0.11317502784708663,3.1747678777006203,5.024114864450472
2025-12-03T20:28:40,13,1,Q-Learning,250,12412,108,93,0.5,0.3,0.2,3,17.88581219744532,0.12810797542683733,5.3642605722224195,10.054190605795194
2025-12-03T20:28:41,13,1,SARSA,250,12412,108,93,0.5,0.3,0.2,3,12.411975642561895,0.15555829362867885,4.4822915892815445,7.14911362722586
2025-12-03T20:28:41,13,2,Basit,250,12412,226,183,0.5,0.3,0.2,3,8.826252057861698,0.07638921040415679,3.04267956170559,5.044578704393214
2025-12-03T20:28:42,13,2,Q-Learning,250,12412,226,183,0.5,0.3,0.2,3,11.231390089887618,0.10841030719037238,4.001493751116384,6.448516887324198
2025-12-03T20:28:42,13,2,SARSA,250,12412,226,183,0.5,0.3,0.2,4,16.17948860739917,0.10984176274959485,11.206658533274513,10.364028539179365
2025-12-03T20:28:42,13,3,Basit,250,12412,9,229,0.5,0.3,0.2,3,9.636276828515168,0.10029510420586712,3.5137340173255254,5.5509737489844495
2025-12-03T20:28:43,13,3,Q-Learning,250,12412,9,229,0.5,0.3,0.2,3,12.143758567329343,0.1448572163990003,3.517027796431349,6.818742007870641
2025-12-03T20:28:43,13,3,SARSA,250,12412,9,229,0.5,0.3,0.2,5,26.760721829627926,0.21819588021732722,6.792099355713633,14.804239550021888
2025-12-03T20:28:43,13,4,Basit,250,12412,34,233,0.5,0.3,0.2,3,9.636536211397202,0.13415703853197644,2.622239345075223,5.382963086273238
2025-12-03T20:28:44,13,4,Q-Learning,250,12412,34,233,0.5,0.3,0.2,3,14.416162911776231,0.07079005759224505,3.0117105284813865,7.831660578862067
2025-12-03T20:28:45,13,4,SARSA,250,12412,34,233,0.5,0.3,0.2,3,15.532208965772499,0.13747423055461735,5.162201471946031,8.839787046441842
2025-12-03T20:28:45,13,5,Basit,250,12412,19,201,0.5,0.3,0.2,3,8.887135656340455,0.12040681139756035,3.7357005260831255,5.226829976806121
2025-12-03T20:28:45,13,5,Q-Learning,250,12412,19,201,0.5,0.3,0.2,2,9.191528754314879,0.02798864532888775,7.232018396118102,6.0505646499797265
2025-12-03T20:28:46,13,5,SARSA,250,12412,19,201,0.5,0.3,0.2,3,24.569972845857844,0.10905198212872078,5.352660927224219,13.388234203012383
2025-12-03T20:28:46,14,1,Basit,250,12433,23,101,0.5,0.3,0.2,4,12.345040368780193,0.11697171136159226,7.576356490966781,7.722882995991931
2025-12-03T20:28:47,14,1,Q-Learning,250,12433,23,101,0.5,0.3,0.2,3,18.35726376822629,0.14067039191452207,2.4063316842160507,9.702099338530711
2025-12-03T20:28:47,14,1,SARSA,250,12433,23,101,0.5,0.3,0.2,4,22.678803575715225,0.1822282552968789,6.102209706753429,12.61451220579736
2025-12-03T20:28:47,14,2,Basit,250,12433,122,40,0.5,0.3,0.2,3,11.173972558333691,0.12258060528871466,4.2874887615953154,6.481258213072524
2025-12-03T20:28:48,14,2,Q-Learning,250,12433,122,40,0.5,0.3,0.2,3,12.87009849704217,0.18219538370229116,4.338656249547944,7.3574391135413615
2025-12-03T20:28:48,14,2,SARSA,250,12433,122,40,0.5,0.3,0.2,3,12.022646007072948,0.08943094787127026,2.9666642985520264,6.63148514760826
2025-12-03T20:28:48,14,3,Basit,250,12433,186,113,0.5,0.3,0.2,3,8.29868922679412,0.1670805227464706,3.058129975252532,4.811094765271507
2025-12-03T20:28:49,14,3,Q-Learning,250,12433,186,113,0.5,0.3,0.2,3,16.60650312744481,0.1386760595983689,2.422698711793877,8.829394123960691
2025-12-03T20:28:49,14,3,SARSA,250,12433,186,113,0.5,0.3,0.2,4,17.097118542087056,0.17376354162470584,4.624459654886022,9.525580264508143
2025-12-03T20:28:49,14,4,Basit,250,12433,15,107,0.5,0.3,0.2,3,8.406069277895336,0.1707007863650549,7.952247629569003,5.844694400770985
2025-12-03T20:28:50,14,4,Q-Learning,250,12433,15,107,0.5,0.3,0.2,3,13.189393886271533,0.13231527322065953,2.288735303105083,7.0921385857229815
2025-12-03T20:28:50,14,4,SARSA,250,12433,15,107,0.5,0.3,0.2,4,31.59241851818598,0.2124294571250936,10.08033413889986,17.87600492401049
2025-12-03T20:28:50,14,5,Basit,250,12433,132,213,0.5,0.3,0.2,2,10.26163979339009,0.10636865390606398,1.6142521471343367,5.485580922293732
2025-12-03T20:28:51,14,5,Q-Learning,250,12433,132,213,0.5,0.3,0.2,7,54.07519658072808,0.33822579644376394,10.518905698560022,29.242847169009174
2025-12-03T20:28:52,14,5,SARSA,250,12433,132,213,0.5,0.3,0.2,2,10.26163979339009,0.10636865390606398,1.6142521471343367,5.485580922293732
2025-12-03T20:28:52,15,1,Basit,250,12373,0,167,0.5,0.3,0.2,3,10.790182851354949,0.12672479223926958,7.121155847543596,6.857340032857975
2025-12-03T20:28:52,15,1,Q-Learning,250,12373,0,167,0.5,0.3,0.2,3,14.789545479359443,0.1272669298848507,3.1589210832161774,8.064737035288413
2025-12-03T20:28:53,15,1,SARSA,250,12373,0,167,0.5,0.3,0.2,7,62.691634436140745,0.31598763939817576,19.13912730532812,35.26843897095545
2025-12-03T20:28:53,15,2,Basit,250,12373,40,155,0.5,0.3,0.2,2,7.515278226322663,0.06453046758488826,2.0464849631654203,4.186295246069882
2025-12-03T20:28:54,15,2,Q-Learning,250,12373,40,155,0.5,0.3,0.2,2,7.515278226322663,0.06453046758488826,2.0464849631654203,4.186295246069882
